date,India
16/01/2021,181
17/01/2021,145
18/01/2021,137
19/01/2021,162
20/01/2021,151
21/01/2021,163
22/01/2021,152
23/01/2021,155
24/01/2021,131
25/01/2021,117
26/01/2021,137
27/01/2021,123
28/01/2021,163
29/01/2021,137
30/01/2021,127
31/01/2021,118
01/02/2021,94
02/02/2021,110
03/02/2021,107
04/02/2021,120
05/02/2021,95
06/02/2021,78
07/02/2021,84
08/02/2021,78
09/02/2021,94
10/02/2021,108
11/02/2021,87
12/02/2021,103
13/02/2021,92
14/02/2021,90
15/02/2021,81
16/02/2021,100
17/02/2021,101
18/02/2021,97
19/02/2021,101
20/02/2021,90
21/02/2021,83
22/02/2021,78
23/02/2021,104
24/02/2021,138
25/02/2021,120
26/02/2021,113
27/02/2021,113
28/02/2021,106
01/03/2021,91
02/03/2021,98
03/03/2021,89
04/03/2021,113
05/03/2021,108
06/03/2021,100
07/03/2021,97
08/03/2021,77
09/03/2021,133
10/03/2021,126
11/03/2021,117
12/03/2021,140
13/03/2021,161
14/03/2021,118
15/03/2021,131
16/03/2021,188
17/03/2021,172
18/03/2021,154
19/03/2021,188
20/03/2021,197
21/03/2021,212
22/03/2021,199
23/03/2021,275
24/03/2021,251
25/03/2021,257
26/03/2021,291
27/03/2021,312
28/03/2021,291
29/03/2021,271
30/03/2021,354
31/03/2021,459
01/04/2021,469
02/04/2021,714
03/04/2021,513
04/04/2021,478
05/04/2021,446
06/04/2021,630
07/04/2021,685
08/04/2021,780
09/04/2021,794
10/04/2021,839
11/04/2021,904
12/04/2021,879
13/04/2021,1027
14/04/2021,1038
15/04/2021,1185
16/04/2021,1341
17/04/2021,1501
18/04/2021,1619
19/04/2021,1761
20/04/2021,2023
21/04/2021,2104
22/04/2021,2263
23/04/2021,2624
24/04/2021,2767
25/04/2021,2812
26/04/2021,2771
27/04/2021,3293
28/04/2021,3645
29/04/2021,3498
30/04/2021,3523
01/05/2021,3689
02/05/2021,3417
03/05/2021,3449
04/05/2021,3780
05/05/2021,3980
06/05/2021,3915
07/05/2021,4187
08/05/2021,4077
09/05/2021,3769
10/05/2021,3876
11/05/2021,4205
12/05/2021,4120
13/05/2021,4000
14/05/2021,3890
15/05/2021,4077
16/05/2021,4106
17/05/2021,4329
18/05/2021,4529
19/05/2021,3874
20/05/2021,4209
21/05/2021,4194
22/05/2021,3741
23/05/2021,4454
24/05/2021,3511
25/05/2021,4157
26/05/2021,3847
27/05/2021,3660
28/05/2021,3617
29/05/2021,3460
30/05/2021,3128
31/05/2021,2795
01/06/2021,3207
02/06/2021,2887
03/06/2021,2713
04/06/2021,3380
05/06/2021,2677
06/06/2021,2427
07/06/2021,2123
08/06/2021,2219
09/06/2021,2177
10/06/2021,
11/06/2021,4002
12/06/2021,3303
