India,daily_vaccinations
181,191181
145,112150
137,151350
162,168709
151,161297
163,173922
152,198656
155,198717
131,198743
117,224251
137,193521
123,221356
163,269217
137,301348
127,308876
118,306191
94,275192
110,301348
107,299082
120,290199
95,273832
78,290141
84,293360
78,329836
94,353235
108,366795
87,363652
103,364400
92,325305
90,353179
81,322538
100,320826
101,309949
97,334502
101,354614
90,397981
83,400080
78,415332
104,435722
138,454268
120,460075
113,472428
113,486318
106,459442
91,490006
98,530480
89,607059
113,705494
108,820109
100,954257
97,955392
77,1164942
133,1249594
126,1295566
117,1165631
140,1245822
161,1259438
118,1274147
131,1419814
188,1528090
172,1636892
154,1882128
188,1977848
197,2123633
212,2165423
199,2221023
275,2253821
251,2286065
257,2309232
291,2292340
312,2237992
291,2209205
271,1802680
354,1744724
459,1710312
469,1897814
714,2134932
513,2244267
478,2653533
446,3142510
630,3431874
685,3582968
780,3649303
794,3574409
839,3659357
904,3631915
879,3631737
1027,3443158
1038,3470652
1185,3269892
1341,3123212
1501,3003920
1619,2760572
1761,2656575
2023,2458290
2104,2164695
2263,2218728
2624,2137213
2767,2059866
2812,2190372
2771,2199405
3293,2355946
3645,2486755
3498,2359166
3523,2442854
3689,2369239
3417,2146620
3449,1936741
3780,1838788
3980,1839692
3915,1904976
4187,1884556
4077,1981076
3769,2013337
3876,2145255
4205,2301699
4120,2302048
4000,2251178
3890,2065202
4077,2007240
4106,1992305
4329,1816898
4529,1618423
3874,1480718
4209,1360720
4194,1388325
3741,1328280
4454,1352605
3511,1478358
4157,1473597
3847,1716431
3660,1902326
3617,1971730
3460,2320922
3128,2420840
2795,2326312
3207,2518423
2887,2464650
2713,2448745
3380,2920138
2677,2640313
2427,2767989
2123,2862965
2219,2935027
2177,3025477
,3133931
4002,2870782
3303,2945275
3921,3055624
2726,3181387
2542,3089205
2330,3067056
1587,3241192
1647,3236100
1571,3531464
1427,3550883
1167,4364797
1358,4935727
1321,5006348
1329,5297682
1183,5757941
1258,6276153
979,6249116
907,5444234
817,5366922
1005,5112543
853,4955375
738,4144324
955,4208458
723,4192591
553,4257988
930,3840533
817,4130375
911,4892796
1206,5262873
895,4533142
724,4281993
2020,4319736
622,4770041
583,4752818
542,3764649
560,3883425
518,4128447
499,4433794
374,4339822
3998,3967789
507,3787237
483,4010466
546,4026626
535,4031307
416,3829563
415,4295142
640,4383458
640,4693587
555,4659532
593,4805174
541,4817171
422,5289663
422,5263244
562,5589987
533,5519434
464,5613406
617,5641590
491,5705633
447,5205874
373,5106452
497,4827708
490,4904103
585,4943267
478,5025756
493,5290828
417,5502629
437,5145681
440,5348542
530,5497214
540,5237892
375,5287937
403,4645647
389,4798380
354,4531313
648,4601598
607,5110246
496,5399358
509,6047866
460,7071278
380,7402290
350,8152340
460,8009674
509,9093383
366,9340631
330,8587773
308,7411458
219,7418237
290,7021136
369,7838454
338,6996271
260,7304945
308,6922828
338,7954858
219,7966089
339,8833001
284,7577952
431,7257129
320,7204486
281,7610446
309,8940878
295,9214366
252,8849707
383,9874599
282,9421037
318,9414028
290,10037995
260,8020226
276,7287579
179,8077371
378,7344057
311,7484927
277,7026494
234,6507167
244,6978224
180,7194818
263,6043745
278,6412084
318,6262069
271,5821224
248,6002255
214,6004235
193,6426337
181,6261109
226,6172911
246,6053914
379,5884027
166,5134811
144,4236032
166,3600695
164,3435235
197,3681917
160,4499241
231,4977463
666,5540317
561,5850184
443,6560451
356,6456459
585,6248147
733,5595625
805,5607749
549,5966139
446,6407429
251,5766214
443,6214911
311,5552652
461,5498716
221,4949827
392,3726427
526,3098292
266,2930133
332,2940244
460,3204213
340,3249564
501,3666896
555,4804242
285,5571839
125,5678164
197,5535065
301,5934296
470,6171477
459,6573042
267,6024606
313,6357807
249,6452542
236,6980269
437,7179857
396,7537503
488,7105965
465,8166075
621,6972577
236,7876782
190,7521233
267,7586847
477,7392564
391,8191110
415,7281421
0,8759028
3007,7938408
220,7889437
195,7843868
159,7765415
368,7482590
393,7235294
562,7669715
202,7519381
252,7392500
247,7761315
343,7515754
391,6892387
0,7570262
289,6509034
396,6432805
453,6393946
318,6032892
434,5509274
374,5961434
387,5598521
162,5846329
315,5471820
293,5460562
302,5364015
268,6306509
220,5785173
406,6329836
284,5726859
123,5979233
124,6582722
534,6608642
325,6715446
302,7610504
285,8103784
327,7705373
146,8731293
277,8528083
442,9358811
380,8870535
411,8846955
306,7269519
314,8233019
385,7570103
310,7377220
441,5452050
491,6879112
703,6630581
488,7590638
525,7349937
439,7359274
614,6793794
665,7758004
573,6247433
627,5539846
871,5097284
893,4767597
959,5021604
1192,5909456
1733,5835935
1008,5835309
1072,6057863
1059,5964928
865,6102269
895,5503435
1188,4466001
1217,4502216
1241,4713271
657,4125867
804,4732111
684,4313445
346,4575122
347,4811658
514,4769921
541,4089529
492,4790451
325,3966236
673,4013738
206,3642105
235,3723058
278,3350608
302,3291554
302,3005569
255,2951415
243,2978636
119,2902576
180,2769656
223,2450184
142,2366073
201,2353441
289,2212090
158,2075922
66,2017242
108,2019783
145,2125526
104,2180926
255,1999822
89,2019434
47,1794624
27,1839242
97,1885498
98,1802891
60,1783656
