date,daily_vaccinations
15/01/2021,
16/01/2021,191181
17/01/2021,112150
18/01/2021,151350
19/01/2021,168709
20/01/2021,161297
21/01/2021,173922
22/01/2021,198656
23/01/2021,198717
24/01/2021,198743
25/01/2021,224251
26/01/2021,193521
27/01/2021,221356
28/01/2021,269217
29/01/2021,301348
30/01/2021,308876
31/01/2021,306191
01/02/2021,275192
02/02/2021,301348
03/02/2021,299082
04/02/2021,290199
05/02/2021,273832
06/02/2021,290141
07/02/2021,293360
08/02/2021,329836
09/02/2021,353235
10/02/2021,366795
11/02/2021,363652
12/02/2021,364400
13/02/2021,325305
14/02/2021,353179
15/02/2021,322538
16/02/2021,320826
17/02/2021,309949
18/02/2021,334502
19/02/2021,354614
20/02/2021,397981
21/02/2021,400080
22/02/2021,415332
23/02/2021,435722
24/02/2021,454268
25/02/2021,460075
26/02/2021,472428
27/02/2021,486318
28/02/2021,459442
01/03/2021,490006
02/03/2021,530480
03/03/2021,607059
04/03/2021,705494
05/03/2021,820109
06/03/2021,954257
07/03/2021,955392
08/03/2021,1164942
09/03/2021,1249594
10/03/2021,1295566
11/03/2021,1165631
12/03/2021,1245822
13/03/2021,1259438
14/03/2021,1274147
15/03/2021,1419814
16/03/2021,1528090
17/03/2021,1636892
18/03/2021,1882128
19/03/2021,1977848
20/03/2021,2123633
21/03/2021,2165423
22/03/2021,2221023
23/03/2021,2253821
24/03/2021,2286065
25/03/2021,2309232
26/03/2021,2292340
27/03/2021,2237992
28/03/2021,2209205
29/03/2021,1802680
30/03/2021,1744724
31/03/2021,1710312
01/04/2021,1897814
02/04/2021,2134932
03/04/2021,2244267
04/04/2021,2653533
05/04/2021,3142510
06/04/2021,3431874
07/04/2021,3582968
08/04/2021,3649303
09/04/2021,3574409
10/04/2021,3659357
11/04/2021,3631915
12/04/2021,3631737
13/04/2021,3443158
14/04/2021,3470652
15/04/2021,3269892
16/04/2021,3123212
17/04/2021,3003920
18/04/2021,2760572
19/04/2021,2656575
20/04/2021,2458290
21/04/2021,2164695
22/04/2021,2218728
23/04/2021,2137213
24/04/2021,2059866
25/04/2021,2190372
26/04/2021,2199405
27/04/2021,2355946
28/04/2021,2486755
29/04/2021,2359166
30/04/2021,2442854
01/05/2021,2369239
02/05/2021,2146620
03/05/2021,1936741
04/05/2021,1838788
05/05/2021,1839692
06/05/2021,1904976
07/05/2021,1884556
08/05/2021,1981076
09/05/2021,2013337
10/05/2021,2145255
11/05/2021,2301699
12/05/2021,2302048
13/05/2021,2251178
14/05/2021,2065202
15/05/2021,2007240
16/05/2021,1992305
17/05/2021,1816898
18/05/2021,1618423
19/05/2021,1480718
20/05/2021,1360720
21/05/2021,1388325
22/05/2021,1328280
23/05/2021,1352605
24/05/2021,1478358
25/05/2021,1473597
26/05/2021,1716431
27/05/2021,1902326
28/05/2021,1971730
29/05/2021,2320922
30/05/2021,2420840
31/05/2021,2326312
01/06/2021,2518423
02/06/2021,2464650
03/06/2021,2448745
04/06/2021,2920138
05/06/2021,2640313
06/06/2021,2767989
07/06/2021,2862965
08/06/2021,2935027
09/06/2021,3025477
10/06/2021,3133931
11/06/2021,2870782
12/06/2021,2945275
13/06/2021,3055624
14/06/2021,3181387
15/06/2021,3089205
16/06/2021,3067056
17/06/2021,3241192
18/06/2021,3236100
19/06/2021,3531464
20/06/2021,3550883
21/06/2021,4364797
22/06/2021,4935727
23/06/2021,5006348
24/06/2021,5297682
25/06/2021,5757941
26/06/2021,6276153
27/06/2021,6249116
28/06/2021,5444234
29/06/2021,5366922
30/06/2021,5112543
01/07/2021,4955375
02/07/2021,4144324
03/07/2021,4208458
04/07/2021,4192591
05/07/2021,4257988
06/07/2021,3840533
07/07/2021,4130375
08/07/2021,4892796
09/07/2021,5262873
10/07/2021,4533142
11/07/2021,4281993
12/07/2021,4319736
13/07/2021,4770041
14/07/2021,4752818
15/07/2021,3764649
16/07/2021,3883425
17/07/2021,4128447
18/07/2021,4433794
19/07/2021,4339822
20/07/2021,3967789
21/07/2021,3787237
22/07/2021,4010466
